,article_name,country,region,article_quality,revision_id,population
0,Shahjahan Noori,Afghanistan,SOUTH ASIA,GA,1099689043,41.1
1,Abdul Ghafar Lakanwal,Afghanistan,SOUTH ASIA,Start,943562276,41.1
2,Majah Ha Adrif,Afghanistan,SOUTH ASIA,Start,852404094,41.1
3,Haroon al-Afghani,Afghanistan,SOUTH ASIA,B,1095102390,41.1
4,Tayyab Agha,Afghanistan,SOUTH ASIA,Start,1104998382,41.1
5,Ahmadullah Wasiq,Afghanistan,SOUTH ASIA,Start,1109361754,41.1
6,Aziza Ahmadyar,Afghanistan,SOUTH ASIA,Start,1087211008,41.1
7,Muqadasa Ahmadzai,Afghanistan,SOUTH ASIA,Start,1082489593,41.1
8,Mohammad Sarwar Ahmedzai,Afghanistan,SOUTH ASIA,Start,1038918070,41.1
9,Amir Muhammad Akhundzada,Afghanistan,SOUTH ASIA,Start,1069322182,41.1
10,Nasrullah Baryalai Arsalai,Afghanistan,SOUTH ASIA,Start,1095526840,41.1
11,Mohammad Asim Asim,Afghanistan,SOUTH ASIA,Stub,1013838830,41.1
12,Atiqullah Atifmal,Afghanistan,SOUTH ASIA,Start,1112407669,41.1
13,Abdul Rahim Ayoubi,Afghanistan,SOUTH ASIA,Start,1108886061,41.1
14,Alhaj Mutalib Baig,Afghanistan,SOUTH ASIA,Start,1111494041,41.1
15,Ismael Balkhi,Afghanistan,SOUTH ASIA,Start,1112534409,41.1
16,Abdul Baqi Turkistani,Afghanistan,SOUTH ASIA,Stub,889226470,41.1
17,Mohammad Ghous Bashiri,Afghanistan,SOUTH ASIA,Start,1102150221,41.1
18,Abas Basir,Afghanistan,SOUTH ASIA,C,1098419766,41.1
19,Jan Baz,Afghanistan,SOUTH ASIA,Stub,997027082,41.1
20,Ahmad Behzad,Afghanistan,SOUTH ASIA,Start,1103948295,41.1
21,Bashir Ahmad Bezan,Afghanistan,SOUTH ASIA,Start,1060707209,41.1
22,Rafiullah Bidar,Afghanistan,SOUTH ASIA,Stub,977208323,41.1
23,Mohammad Siddiq Chakari,Afghanistan,SOUTH ASIA,Stub,1105913099,41.1
24,Cheragh Ali Cheragh,Afghanistan,SOUTH ASIA,Start,1087211968,41.1
25,Nasir Ahmad Durrani,Afghanistan,SOUTH ASIA,Stub,988838315,41.1
26,Elay Ershad,Afghanistan,SOUTH ASIA,Stub,1102489654,41.1
27,Muhammad Hashim Esmatullahi,Afghanistan,SOUTH ASIA,Stub,949986748,41.1
28,Ezatullah (Nangarhar),Afghanistan,SOUTH ASIA,Stub,947885788,41.1
29,Aimal Faizi,Afghanistan,SOUTH ASIA,Stub,1033383351,41.1
30,Mohammad Nasim Faqiri,Afghanistan,SOUTH ASIA,Start,1098051193,41.1
31,Mohammad Nazar Faqiri,Afghanistan,SOUTH ASIA,Stub,1095525798,41.1
32,Sharif Ghalib,Afghanistan,SOUTH ASIA,B,1041460606,41.1
33,Hashmat Ghani Ahmadzai,Afghanistan,SOUTH ASIA,C,1112933356,41.1
